0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 4 9 40 90
0 0 0 0 0
0 0 0 0 0
12 5 8 17 31
8 5 5 18 34
9 10 19 45 111
6 5 5 22 54
32 22 36 84 198
31 27 41 55 177
39 88 169 489 1688
35 22 22 43 94
116 145 191 555 2057
0 0 0 0 0
0 0 0 0 0
19 10 7 33 95
35 50 94 204 886
14 17 34 97 265
16 26 56 195 751
142 179 236 692 3166
62 49 89 183 536
10 11 21 53 113
45 44 66 229 802
31 35 32 101 279
115 131 125 371 945
78 104 157 473 1119
140 168 253 748 2739
4 5 6 10 36
28 35 50 147 421
56 17 23 107 380
0 1 0 5 23
2 1 7 2 85
3 4 3 15 39
0 0 0 0 0
10 9 13 36 189
15 11 16 35 91
1 1 1 1 13
20 13 27 74 447
17 25 47 148 503
0 0 0 0 0
278 330 395 962 3051
0 1 2 19 18
15 12 17 55 301
9 23 28 86 274
46 44 55 213 760
0 0 0 0 0
2 5 10 22 112
17 9 16 37 129
36 42 69 175 524
20 16 10 66 163
24 8 21 62 414
142 152 135 348 966
0 0 0 0 0
18 15 43 138 408
44 45 61 154 421
10 3 10 36 124
3 2 3 3 18
17 10 14 36 207
1 2 0 6 24
5 8 10 17 59
0 0 0 6 65
17 20 32 113 419
2 6 10 20 153
3 1 1 3 21
18 12 22 50 253
0 0 0 0 0
5 3 8 26 119
1 2 5 25 173
15 20 28 130 521
0 0 0 0 0
2 0 5 23 115
11 22 40 140 331
29 27 36 118 426
11 10 14 30 159
1 1 0 3 30
2 2 1 9 24
20 21 34 47 134
19 21 62 129 324
10 14 25 63 120
28 41 76 205 307
18 8 6 11 132
0 0 0 0 0
0 0 3 7 13
15 15 16 128 756
8 12 28 95 290
10 14 25 67 125
0 0 0 0 0
0 0 0 0 0
42 50 114 362 1539
17 32 38 155 358
7 16 18 31 133
31 40 96 224 445
49 42 91 305 745
3 7 6 32 88
5 7 9 24 46
77 126 233 631 1987
1 0 3 9 32
21 18 24 105 514
38 22 25 68 331
14 7 19 42 165
70 63 118 333 891
12 8 17 37 81
0 1 0 4 31
4 2 1 3 41
86 90 160 388 715
7 14 18 39 135
1 1 5 21 34
4 8 11 35 163
1 1 1 8 24
1 1 1 7 32
43 48 75 154 332
0 0 0 0 0
32 27 57 122 403
21 20 39 115 345
7 6 15 45 125
32 29 45 166 452
52 38 61 202 738
0 0 0 0 0
92 113 167 538 2033
79 86 150 462 1304
18 26 36 112 223
20 21 21 115 502
91 100 114 274 790
3 0 1 3 13
8 12 10 21 74
3 3 13 33 269
68 59 114 351 1945
11 2 8 49 543
0 0 0 0 0
6 2 3 17 140
3 0 1 11 24
0 0 0 4 9
82 72 105 361 1246
0 0 0 1 3
1 1 3 2 23
0 2 1 14 93
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
2 5 3 7 172
0 1 0 0 2
0 0 0 1 8
6 4 6 16 111
1 1 4 20 92
4 4 9 42 364
1 2 5 8 26
0 3 4 28 168
6 5 14 65 306
47 37 96 328 2173
0 1 3 7 25
0 1 1 6 41
52 58 71 111 203
35 39 71 191 1356
21 28 53 193 479
19 24 22 67 211
3 5 6 9 32
10 13 37 111 419
43 50 74 210 577
16 16 33 108 286
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
35 53 99 460 2598
0 0 0 0 0
0 0 0 0 0
4 7 12 26 64
4 7 12 28 83
19 22 22 56 117
0 0 0 0 0
0 0 0 0 0
72 61 77 228 1327
0 0 2 1 14
8 12 20 80 373
32 42 72 191 523
0 0 0 0 0
10 7 10 17 46
5 11 11 31 80
0 0 0 0 0
47 45 77 174 581
1 2 7 10 26
8 9 12 34 171
1 4 9 11 26
29 22 31 111 384
31 29 42 196 620
0 0 0 0 0
9 21 37 166 666
41 34 68 162 1040
520 581 901 2691 9638
1 1 1 7 35
1 0 3 17 159
9 14 17 57 127
0 0 0 0 0
0 0 0 0 0
162 141 168 425 1188
0 0 0 0 0
22 13 20 92 265
12 19 44 108 369
8 11 22 63 206
0 0 0 0 0
0 0 0 5 22
75 68 128 337 1184
155 119 179 448 1636
0 0 0 0 0
50 64 54 180 267
7 5 10 20 72
37 28 37 103 242
111 91 102 173 409
171 227 279 845 2359
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
39 62 51 134 409
21 11 16 65 459
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
11 7 7 19 67
0 0 0 0 0
30 30 51 194 713
4 6 9 17 64
10 8 9 35 228
0 0 0 0 0
1 0 0 5 11
0 0 0 0 0
0 0 0 0 0
182 191 284 1003 2773
36 31 45 137 447
22 22 36 137 651
4 6 11 18 29
36 54 87 191 480
129 87 107 297 823
15 26 36 118 375
6 6 12 18 76
8 10 7 33 57
26 28 36 103 219
18 18 22 62 272
0 0 0 0 0
2 5 4 18 58
131 105 127 220 402
10 16 12 56 253
0 0 0 0 0
9 8 10 30 107
0 2 3 11 108
8 8 10 19 50
2 3 3 12 42
3 1 2 2 15
2 1 1 2 10
5 0 3 3 10
4 4 2 1 14
